Order,Family,Subfamily,Tribe,Subtribe,Genus,Species,Infradel,Subspecies,Taxon,Taxonomy_Status,Pathway,Pathway_subtype,dC13,Kranz_anatomy,Kranz_subtype,BS_area_um2,FM_DM,FM_DM_sd,leaf_thickness_um,leaf_thickness_um_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,mesophyll_area_um2,mesophyll_thickness_um,mesophyll_thickness_um_sd,BS:M,mesophyll_cell_area_um2,vein_density_m_mm-2,Habit,tissue,CITEKEYS
Poales,Poaceae,,,,Bouteloua,gracilis,,,,,C4,,-12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Buchloe,dactyloides,,,,,C4,,-14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Leptoloma,cognatum,,,,,C4,,-11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Panicum,leibergii,,,,,C4,,-26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Panicum,virgatum,,,,,C4,,-14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Andropogon,gerardi,,,,,C4,,-12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Andropogon,scoparius,,,,,C4,,-13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Sorghastrum,nutans,,,,,C4,,-12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Panicum,clandestinum,,,,,C3,,-28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Panicum,sphaerocarpon,,,,,C3,,-28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Panicum,lanuginosum,,,,,C3,,-26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Panicum,nodatum,,,,,C3,,-28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Panicum,scriberianum,,,,,C3,,-32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Panicum,pacificum,,,,,C3,,-33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
