Taxon,Authority,Pathway,References,dC13,Genus,Species,Subspecies,Infradel
Cyperus cornelii-ostenii,Kük.,C4,Bruhl and Wilson (2007),,Cyperus,cornelii-ostenii,,
Cyperus corymbosus var. longispica,Rottb. (O. Kuntze) Kük.,C4,Mani (1963),-10.33,Cyperus,corymbosus,longispica,var.
Cyperus cracens,K. L. Wilson,C4,Bruhl and Wilson (2007),,Cyperus,cracens,,
Cyperus crassipes,Vahl,C4,Druyts-Voets (1970) Hesla et al. (1982) Bruhl and Wilson (2007),-12,Cyperus,crassipes,,
Cyperus crispulus,K. L. Wilson,C4,Bruhl and Wilson (2007),,Cyperus,crispulus,,
Cyperus croceus,Vahl,C4,Bruhl and Wilson (2007),,Cyperus,croceus,,
Cyperus cunninghamii,(C. B. Clarke) C. Gardner,C4,Bruhl and Wilson (2007),,Cyperus,cunninghamii,,
Cyperus cunninghamii subsp. cunninghamii,(C. B. Clarke) C. Gardner K. L. Wilson,C4,Bruhl and Wilson (2007),,Cyperus,cunninghamii,cunninghamii,subsp.
Cyperus cunninghamii subsp. uniflorus,(C. B. Clarke) C. Gardner K. L. Wilson,C4,Bruhl and Wilson (2007),,Cyperus,cunninghamii,uniflorus,subsp.
Cyperus cuspidatus,Kunth,C4,Druyts-Voets (1970) Hesla et al. (1982) Takeda et al. (1985) Bruhl and Wilson (2007),,Cyperus,cuspidatus,,
Cyperus cyperinus,(Retz.) Valck. Sur.,C4,Mani (1963) Hofstra et al. (1972),,Cyperus,cyperinus,,
Cyperus cyperoides,(L.) Kuntze,C4,Hofstra et al. (1972) Hesla et al. (1982) Ueno and Takeda (1992),,Cyperus,cyperoides,,
Cyperus dactylotes,Benth.,C4,Takeda et al. (1985) Bruhl and Wilson (2007),,Cyperus,dactylotes,,
Cyperus deciduus,Boeck.,C3+,Druyts-Voets (1970) Vorster (1990) Bruhl and Wilson (2007),,Cyperus,deciduus,,
Cyperus decompositus,(R. Br.) F. Muell.,C4,Takeda et al. (1985) Bruhl and Wilson (2007),,Cyperus,decompositus,,
Cyperus dentatus,Torr.,C3,Li et al. (1999) Bruhl and Wilson (2007),,Cyperus,dentatus,,
Cyperus denudatus,L. f.,C3,Druyts-Voets (1970) Hesla et al. (1982) Aucour et al. (1994),,Cyperus,denudatus,,
Cyperus dereilema,Steud.,C3,Druyts-Voets (1970) Hesla et al. (1982),,Cyperus,dereilema,,
Cyperus dichroostachyus,A. Rich.,C3,Druyts-Voets (1970) Hesla et al. (1982),,Cyperus,dichroostachyus,,
Cyperus dietrichiae,Boeck.,C4,Bruhl and Wilson (2007),,Cyperus,dietrichiae,,
Cyperus difformis,L.,C3,Akita et al. (1969) Druyts-Voets (1970) Hofstra et al. (1972) Imai and Murrata (1979) Takeda et al. (1980) Hesla et al. (1982) Takeda et al (1985) Li (1993) Li et al. (1999) Bruhl and Wilson (2007),,Cyperus,difformis,,
Cyperus digitatus,Roxb.,C4,Ueno and Takeda (1992) Bruhl and Wilson (2007),-13.4,Cyperus,digitatus,,
Cyperus digitatus subs. auricomus,(Sieb. ex Spreng.) Kük.,C4,Druyts-Voets (1970) Bruhl and Wilson (2007),,Cyperus,digitatus,auricomus,subs.
Cyperus disjunctus,C. B. Clarke,C3,Bruhl and Wilson (2007),,Cyperus,disjunctus,,
Cyperus distans,L. f.,C4,Druyts-Voets (1970) Hesla et al. (1982) Ueno et al. (1986) Ueno et al. (1998b) Ueno and Takeda (1992) Bruhl and Wilson (2007),,Cyperus,distans,,
Cyperus distinctus,Steud.,C3,Denton (1983),,Cyperus,distinctus,,
Cyperus diurensis,Boeck.,C4,Hesla et al. (1982) Bruhl and Wilson (2007),,Cyperus,diurensis,,
Cyperus dives,Del.,C4,Druyts-Voets (1970) Hesla et al. (1982) Bruhl and Wilson (2007),-13,Cyperus,dives,,
Cyperus drummondii,Torr. and Hook.,C3,Denton (1983),,Cyperus,drummondii,,
Cyperus dubius,Rottb.,C4,Hnatiuk (1980) Hesla et al. (1982) Bruhl and Wilson (2007),-12.7,Cyperus,dubius,,
Cyperus duripes,I. M. Johnst.,C4,Bruhl and Wilson (2007),,Cyperus,duripes,,
Cyperus durus,Kunth,C4,Vorster (1990),,Cyperus,durus,,
Cyperus echinatus,(L.) Alph. Wood,C4,Li (1993),,Cyperus,echinatus,,
Cyperus ekmannii,Kük.,C4,Bruhl and Wilson (2007),,Cyperus,ekmannii,,
Cyperus elatus,L.,C4,Mani (1960),,Cyperus,elatus,,
Cyperus elegans,L.,C4,Druyts-Voets (1970) Bruhl and Wilson (2007),-11.3,Cyperus,elegans,,
Cyperus entrerianus,Boeck.,C3,Bruhl and Wilson (2007),-26.6,Cyperus,entrerianus,,
Cyperus eragrostis,Vahl,C3,Druyts-Voets (1970) Denton (1983) Bruhl et al. (1987) Li (1993) Li and Jones (1994) Soros and Dengler (2001) Bruhl and Wilson (2007),-26.6 -26.8 -27.6,Cyperus,eragrostis,,
Cyperus eragrostis,Vahl,C4+,Downton and Tregunna (1968) Troughton et al. (1974),,Cyperus,eragrostis,,
Cyperus erythrorhizos,Muhl.,C4,Li et al. (1999),,Cyperus,erythrorhizos,,
Cyperus esculentus,L.,C4,Moss et al. (1969) Chen et al. (1970) Druyts-Voets (1970) Syvertsen et al. (1976) Krenzer et al. (1975) Hesla et al. (1982) Li (1993) Li et al. (1999) Bruhl and Wilson (2007),-12.1,Cyperus,esculentus,,
Cyperus exaltatus,Retz.,C4,Mani (1963) Hesla et al. (1982) Takeda et al. (1985) Bruhl and Wilson (2007),,Cyperus,exaltatus,,
Cyperus exalratus subsp. iwasakii,(Makino) T. Koyama,C4,Ueno and Takeda (1992),,Cyperus,exalratus,iwasakii,subsp.
Cyperus exilis,Willd. ex Kunth,C4,Bruhl and Wilson (2007),,Cyperus,exilis,,
Cyperus fastigiatus,Rottb.,C4,Sonnenberg and Botha (1992) Bruhl and Wilson (2007),,Cyperus,fastigiatus,,
Cyperus fertilis,Boeck.,C3,Druyts-Voets (1970),-33.7 -36.6,Cyperus,fertilis,,
Cyperus filiculmis,Vahl,C4,Bender (1971) Li et al. (1999),,Cyperus,filiculmis,,
Cyperus fischerianus,A. Rich.,C3,Druyts-Voets (1970) Hesla et al. (1982),,Cyperus,fischerianus,,
Cyperus fissus,Steud.,C4,Druyts-Voets (1970),,Cyperus,fissus,,
Cyperus flaccidus,R. Br.,C3,Ueno and Takeda (1992) Bruhl and Wilson (2007),,Cyperus,flaccidus,,
Cyperus flexuosus,Vahl,C4,Bruhl and Wilson (2007),,Cyperus,flexuosus,,
Cyperus foliaceus,C. B. Clarke,C3,Hesla et al. (1982),,Cyperus,foliaceus,,
Cyperus frerei,C. B. Clarke,C3,Hesla et al. (1982),,Cyperus,frerei,,
Cyperus fucosus,K. L. Wilson,C4,Takeda et al. (1985) Bruhl and Wilson (2007),,Cyperus,fucosus,,
Cyperus fulgens,C. B. Clarke,C4,Druyts-Voets (1970),-11.41,Cyperus,fulgens,,
Cyperus fuligineus,Chapm.,C4,Bruhl and Wilson (2007),,Cyperus,fuligineus,,
Cyperus fulvus,R. Br.,C4,Carolin et al. (1977) Bruhl and Wilson (2007),,Cyperus,fulvus,,
Cyperus fuscus,L.,C3,Li (1993) Kalapos et al. (1997) Bruhl and Wilson (2007),-28.1,Cyperus,fuscus,,
Cyperus gardneri var. gardneri,Nees,C3,Bruhl and Wilson (2007),,Cyperus,gardneri,gardneri,var.
Cyperus gardneri var. vegetior,Nees Kuk,C3,Bruhl and Wilson (2007),,Cyperus,gardneri,vegetior,var.
Cyperus giganteus,Vahl,C4,Rodrigues and Estelita (2003) Bruhl and Wilson (2007),-12.1,Cyperus,giganteus,,
Cyperus gilesii,Benth.,C4,Carolin et al. (1977) Takeda et al. (1985) Bruhl and Wilson (2007),,Cyperus,gilesii,,
Cyperus glaber,L.,C4,Collins and Jones (1985) Li (1993) Kalapos et al. (1997),,Cyperus,glaber,,
Cyperus glaber,L.,C3+,Li (1993),,Cyperus,glaber,,
Cyperus glaucophyllus,Boeck.,C3,Druyts-Voets (1970),,Cyperus,glaucophyllus,,
Cyperus glomeratus,L.,C4,Collins and Jones (1985) Ueno and Takeda (1992) Li (1993) Kalapos et al. (1997) Bruhl and Wilson (2007),,Cyperus,glomeratus,,
Cyperus glomeratus,L.,C3+,Li (1993),,Cyperus,glomeratus,,
Cyperus gracilis,R. Br.,C3,Bruhl and Wilson (2007),-29.2 -31.2,Cyperus,gracilis,,
Cyperus grandibulbosus,C. B. Clarke,C4,Bruhl and Wilson (2007),,Cyperus,grandibulbosus,,
Cyperus grandis,C. B. Clarke,C4,Hesla et al. (1982),,Cyperus,grandis,,
Cyperus grayi,Torr.,C4,Li et al. (1999) Bruhl and Wilson (2007),,Cyperus,grayi,,
Cyperus grayoides,Mohl.,C4,Li et al. (1999),,Cyperus,grayoides,,
Cyperus gunnii subsp. gunnii,Hook. f.,C4,Bruhl et al. (1987) Bruhl and Wilson (2007),,Cyperus,gunnii,gunnii,subsp.
Cyperus gunnii subsp. novaehollandiae,(Boeck.) K. L. Wilson,C4,Bruhl and Wilson (2007),,Cyperus,gunnii,novaehollandiae,subsp.
Cyperus gymnocaulos,Steud.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Cyperus,gymnocaulos,,
Cyperus hamulosus,M. Bieb.,C4,Li (1993) Bruhl and Wilson (2007),,Cyperus,hamulosus,,
Cyperus haspan,L.,C3,Druyts-Voets (1970) Hesla et al. (1982) Ueno et al. (1986) Ueno and Takeda (1992),,Cyperus,haspan,,
Cyperus hemisphaericus,Boeck.,C4,Hesla et al. (1982) Bruhl and Wilson (2007),,Cyperus,hemisphaericus,,
Cyperus hensii,C. B. Clarke,C4,Druyts-Voets (1970) Bruhl and Wilson (2007),,Cyperus,hensii,,
Cyperus hermaphroditus,(Jacq.) Standley,C4,Rikli (1895),,Cyperus,hermaphroditus,,
Cyperus hesperius,K. L. Wilson,C4,Bruhl and Wilson (2007),,Cyperus,hesperius,,
Cyperus hieronymi,Boeck.,C3,Bruhl and Wilson (2007),,Cyperus,hieronymi,,
Cyperus hillebrandii,Boeck.,C4,Bruhl and Wilson (2007),,Cyperus,hillebrandii,,
Cyperus holoschoenus,R. Br.,C4,Carolin et al. (1977) Takeda et al. (1985) Bruhl and Wilson (2007),,Cyperus,holoschoenus,,
Cyperus holostigma,C. B. Clarke ex Schweinf.,C4,Bruhl and Wilson (2007),,Cyperus,holostigma,,
Cyperus holstii,Kük.,C4,Hesla et al. (1982),-10.5,Cyperus,holstii,,
Cyperus houghtonii,Torr.,C4,Li et al. (1999) Bruhl and Wilson (2007),,Cyperus,houghtonii,,
Cyperus humilis,Kunth,C3,Bruhl and Wilson (2007),-28,Cyperus,humilis,,
Cyperus hystricinus,Fernald,C4,Li et al. (1999),,Cyperus,hystricinus,,
Cyperus imbricatus,Retz.,C4,Mani (1963) Druyts-Voets (1970) Ueno and Takeda (1992) Bruhl and Wilson (2007),-13.1,Cyperus,imbricatus,,
Cyperus impubes,Steud.,C4,Hesla et al. (1982),,Cyperus,impubes,,
Cyperus impubes var. fallax,(Cherm.) Kük.,C4,Bruhl and Wilson (2007),,Cyperus,impubes,fallax,var.
Cyperus incompressus,C. B. Clarke,C4,Bruhl and Wilson (2007),-11,Cyperus,incompressus,,
Cyperus incomtus,Kunth,C3,Bruhl and Wilson (2007),,Cyperus,incomtus,,
Cyperus indecorus,Kunth,C4,Bruhl and Wilson (2007),,Cyperus,indecorus,,
Cyperus indecorus var. decurvatus,(C. B. Clarke) Kük.,C4,Bruhl and Wilson (2007),,Cyperus,indecorus,decurvatus,var.
Cyperus intricatus,Schrad. ex Schultes,C3,Denton (1983),,Cyperus,intricatus,,
Cyperus involucratus,Rottb.,C3,Druyts-Voets (1970) Hofstra et al. (1972) Ehleringer et al. (1987) Li and Jones (1994) Bruhl and Wilson (2007),,Cyperus,involucratus,,
Cyperus iria,L.,C4,Akita et al. (1969) Druyts-Voets (1970) Hofstra et al. (1972) Carolin et al. (1977) Takeda et al. (1980) Hesla et al. (1982) Takeda et al. (1985) Ueno et al. (1986) Ueno et al (1988b) Lin et al. (1993) Ueno et al. (1998a) Ueno (2004) Bruhl and Wilson (2007),-11.9,Cyperus,iria,,
Cyperus iria var. Flavesceis,Benth.,C4,Druyts-Voets (1970),,Cyperus,iria,Flavesceis,var.
Cyperus isabellinus,K. L. Wilson,C4,Bruhl and Wilson (2007),,Cyperus,isabellinus,,
Cyperus ixiocarpus,F. Muell.,C4,Bruhl and Wilson (2007),,Cyperus,ixiocarpus,,
Cyperus javanicus,Houtt.,C4,Hofstra et al. (1972) Ueno and Takeda (1992),,Cyperus,javanicus,,
Cyperus jeminicus,Rottb.,C4,Bruhl and Wilson (2007),-12.7,Cyperus,jeminicus,,
Cyperus kaessneri,C. B. Clarke,C4,Hesla et al. (1982),,Cyperus,kaessneri,,
Cyperus kappleri,Hochst. ex Steud.,C4,Bruhl and Wilson (2007),,Cyperus,kappleri,,
Cyperus karlschumanii,C. B. Clarke,C4,Bruhl and Wilson (2007),,Cyperus,karlschumanii,,
Cyperus kerstenii,Boeck.,C4,Hesla et al. (1982),,Cyperus,kerstenii,,
Cyperus kilimandscharicus,Kük.,C4,Hesla et al. (1982),,Cyperus,kilimandscharicus,,
Cyperus kipasensis,Cherm.,C3,Druyts-Voets (1970) Bruhl and Wilson (2007),,Cyperus,kipasensis,,
Cyperus kirkii,C. B. Clarke,C4,Bruhl and Wilson (2007),,Cyperus,kirkii,,
Cyperus koyaliensis,Cherm.,C4,Bruhl and Wilson (2007),-12.6,Cyperus,koyaliensis,,
Cyperus lacunosus,Griseb.,C4,Bruhl and Wilson (2007),,Cyperus,lacunosus,,
Cyperus laeteflorens,(C. B. Clarke) Kük.,C4,Bruhl and Wilson (2007),,Cyperus,laeteflorens,,
Cyperus laevigatus,L.,C4,Borchers et al. (1982) Druyts-Voets (1970) Hesla et al. (1982) Frey and Kurschner (1983) Takeda et al. (1985) Li (1993) Bruhl et al. (1987) Bruhl and Wilson (2007),-12.1 -9.31,Cyperus,laevigatus,,
Cyperus laevis,R. Br.,C3,Bruhl and Wilson (2007),,Cyperus,laevis,,
Cyperus lancastriensis,Porter,C4,Li et al. (1999),,Cyperus,lancastriensis,,
Cyperus latifolius,Poir.,C4,Druyts-Voets (1970) Hesla et al. (1982) Aucour et al. (1994) Bruhl and Wilson (2007),-13,Cyperus,latifolius,,
Cyperus latzii,K. L. Wilson,C4,Bruhl and Wilson (2007),,Cyperus,latzii,,
Cyperus laxus,Lam.,C3,Prakash et al. (1976) Bruhl and Wilson (2007),-32.7 -36.5,Cyperus,laxus,,
Cyperus laxus subsp. buchholzii,(Boeck.) K. Lye,C3,Druyts-Voets (1970),,Cyperus,laxus,buchholzii,subsp.
Cyperus laxus subsp. sylvestris,(Ridl.) K. Lye,C3,Druyts-Voets (1970),,Cyperus,laxus,sylvestris,subsp.
Cyperus lecontei,Torr. ex Steud.,C3,Bruhl and Wilson (2007),,Cyperus,lecontei,,
Cyperus leiocaulon,Benth.,C4,Carolin et al. (1977) Bruhl and Wilson (2007),,Cyperus,leiocaulon,,
Cyperus leptocladus,Kunth,C3,Bruhl and Wilson (2007),-27.37,Cyperus,leptocladus,,
Cyperus leucocephalus,Retz.,C3,Simpson (1990) Bruhl and Wilson (2007),,Cyperus,leucocephalus,,
Cyperus lhotskyanus,Boeck.,C4,Hattersley et al. (1977) Takeda et al. (1985) Bruhl and Wilson (2007),,Cyperus,lhotskyanus,,
Cyperus ligularis,L.,C4,Hnatiuk (1980) Bruhl and Wilson (2007),-11.1,Cyperus,ligularis,,
Cyperus limosus,Maxim.,C3,Bruhl and Wilson (2007),-26,Cyperus,limosus,,
Cyperus longibracteatus,Cherm.,C4,Druyts-Voets (1970) Hesla et al. (1982) Bruhl and Wilson (2007),-10.8,Cyperus,longibracteatus,,
Cyperus longibracteatus var. niger,(C. B. Clarke) K. Lye,C4,Hesla et al. (1982) Vorster (1990) Bruhl and Wilson (2007),-9.99,Cyperus,longibracteatus,niger,var.
Cyperus longibracteatus var. rubrotinctus,(Cherm.) Kük.,C4,Hesla et al. (1982),,Cyperus,longibracteatus,rubrotinctus,var.
Cyperus longus,L.,C4,Haberlandt (1882) Lerman and Raynal (1972) Jones et al. (1981) Hesla et al. (1982) Li (1993) Li and Jones (1994) Bruhl and Wilson (2007),-9.1 -8.16,Cyperus,longus,,
Cyperus longus subsp. tenuiflorus,(Rottb.) Kuk,C4,Druyts-Voets (1970) Bruhl and Wilson (2007),-10.9,Cyperus,longus,tenuiflorus,subsp.
Cyperus longus var. pallidus,Boeck.,C4,Druyts-Voets (1970) Borchers et al. (1982),,Cyperus,longus,pallidus,var.
Cyperus lucidus,R. Br.,C4,Bruhl and Wilson (2007),,Cyperus,lucidus,,
Cyperus lupulinus,(Spreng.) Marcks,C4,Li (1993) Bruhl and Wilson (2007),,Cyperus,lupulinus,,
Cyperus lupulinus subsp. macilentus,(Fernald) Marcks,C4,Bruhl and Wilson (2007),,Cyperus,lupulinus,macilentus,subsp.
Cyperus luteus,Boeck.,C4,Hesla et al. (1982),,Cyperus,luteus,,
Cyperus luzulae,(L.) Retz.,C3,Druyts-Voets (1970) Denton (1983) Bruhl and Wilson (2007),-30,Cyperus,luzulae,,
Cyperus macrocarpus,(Kunth) Boeck.,C4,Hesla et al. (1982) Bruhl and Wilson (2007),,Cyperus,macrocarpus,,
Cyperus macrocarpus var. humbertii,(Cherm.) Kük.,C4,Bruhl and Wilson (2007),,Cyperus,macrocarpus,humbertii,var.
Cyperus macrocarpus var. pseudoflavus,(Kük.) K. Lye,C4,Hesla et al. (1982),,Cyperus,macrocarpus,pseudoflavus,var.
Cyperus macrocephalus,Liebm.,C4,Bruhl and Wilson (2007),,Cyperus,macrocephalus,,
Cyperus maculatus,Boeck.,C4,Druyts-Voets (1970) Hesla et al. (1982),,Cyperus,maculatus,,
Cyperus malaccensis,Lam.,C4,Mani (1963) Hofstra et al. (1972) Bruhl and Wilson (2007),,Cyperus,malaccensis,,
Cyperus manimae var. asperrimus,Kunth,C4,Bruhl and Wilson (2007),,Cyperus,manimae,asperrimus,var.
Cyperus mannii,C. B. Clarke,C3,Bruhl and Wilson (2007),-33,Cyperus,mannii,,
Cyperus mapanioides,C. B. Clarke,C3,Druyts-Voets (1970) Bruhl and Wilson (2007),,Cyperus,mapanioides,,
Cyperus mapanioides var. major,Boeck.,C3,Druyts-Voets (1970),,Cyperus,mapanioides,major,var.
Cyperus maranguensis,K. Schum.,C4,Hesla et al. (1982),,Cyperus,maranguensis,,
Cyperus margaritaceus,Vahl,C4,Druyts-Voets (1970) Bruhl and Wilson (2007),-10.6,Cyperus,margaritaceus,,
Cyperus marginatus,Thunb.,C3,Bruhl and Wilson (2007),-26.27,Cyperus,marginatus,,
Cyperus medusaeus,Chiovenda,C4,Kukkonen and Lye (1996),,Cyperus,medusaeus,,
Cyperus meeboldii,Kük.,C4,Bruhl and Wilson (2007),,Cyperus,meeboldii,,
Cyperus megalanthus,(Kük.) G. C. Tucker,C3,Denton (1983),,Cyperus,megalanthus,,
Cyperus meyenianus,Kunth,C4,Bruhl and Wilson (2007),,Cyperus,meyenianus,,
Cyperus michelianus,(L.) Delile,C4,Druyts-Voets (1970) Li (1993) Kalapos et al (1997) Bruhl and Wilson (2007),-12.3,Cyperus,michelianus,,
Cyperus michoacanensis,Britton,C3,Simpson (1990) Bruhl and Wilson (2007),,Cyperus,michoacanensis,,
Cyperus microcephalus,R. Br.,C4,Takeda et al. (1985),,Cyperus,microcephalus,,
Cyperus microcephalus subsp. chersophilus,K. L. Wilson,C4,Bruhl and Wilson (2007),,Cyperus,microcephalus,chersophilus,subsp.
Cyperus microcephalus subsp. microcephalus,R. Br.,C4,Bruhl and Wilson (2007),,Cyperus,microcephalus,microcephalus,subsp.
Cyperus microcephalus subsp. saxicola,D. A. Simpson,C4,Bruhl and Wilson (2007),,Cyperus,microcephalus,saxicola,subsp.
Cyperus microglumis,D. A. Simpson,C3,Simpson (1990),,Cyperus,microglumis,,
Cyperus microiria,Steud.,C4,Imai and Murata (1979) Ueno et al. (1986) Ueno and Takeda (1992) Li et al. (1999) Bruhl and Wilson (2007),,Cyperus,microiria,,
Cyperus miliifolius,Poepp. and Kunth ex Kunth,C3,Bruhl and Wilson (2007),,Cyperus,miliifolius,,
Cyperus mitis,Steud.,C4,Mani (1963),,Cyperus,mitis,,
Cyperus mollipes,(C. B. Clarke) K. Schum.,C4,Hesla et al. (1982) Bruhl and Wilson (2007),,Cyperus,mollipes,,
Cyperus mutisii,(Kunth) Griseb.,C4,Bruhl and Wilson (2007),,Cyperus,mutisii,,
Cyperus nanus,Willd.,C4,Bruhl and Wilson (2007),,Cyperus,nanus,,
Cyperus natalensis,Hochst.,C4,Bruhl and Wilson (2007),-9.95,Cyperus,natalensis,,
Cyperus nayaritensis,Tucker,C3,Simpson (1990),,Cyperus,nayaritensis,,
Cyperus nduru,Cherm.,C4,Druyts-Voets (1970),,Cyperus,nduru,,
Cyperus nipponicus,Franch. and Sav.,C4,Ueno et al. (1986) Ueno et al. (1988b) Ueno and Takeda (1992),,Cyperus,nipponicus,,
Cyperus niveus,Retz.,C4,Sabnis (1921) Hnatiuk (1980),,Cyperus,niveus,,
Cyperus niveus var. flavissimus,(Shrad.) K. Lye,C4,Druyts-Voets (1970),,Cyperus,niveus,flavissimus,var.
Cyperus niveus var. leucocephalus,(Kunth) Fosberg,C4,Druyts-Voets (1970) Hesla et al. (1982) Bruhl and Wilson (2007),-12.4,Cyperus,niveus,leucocephalus,var.
Cyperus niveus var. tisserantii,(Cherm.) K. Lye,C4,Bruhl and Wilson (2007),,Cyperus,niveus,tisserantii,var.
Cyperus nutans,Vahl,C4,Ueno et al. (1986) Ueno and Takeda (1992),,Cyperus,nutans,,
Cyperus oblongo-incrassatus,Kük.,C4,Hesla et al. (1982),,Cyperus,oblongo-incrassatus,,
Cyperus obsoletinervosus,A. Peter and Kük.,C4,Hesla et al. (1982) Bruhl and Wilson (2007),,Cyperus,obsoletinervosus,,
Cyperus ochraceus,Vahl,C3,Denton (1983),,Cyperus,ochraceus,,
Cyperus odoratus,L.,C4,Bender (1971) Ueno et al. (1988b) Ueno and Takeda (1992) Ueno et al. (1986) Li et al. (1999) Bruhl and Wilson (2007),-10.5,Cyperus,odoratus,,
Cyperus ohwii,Kük.,C4,Ueno et al. (1986) Ueno and Takeda (1992),,Cyperus,ohwii,,
Cyperus orgadophilus,K. L. Wilson,C4,Bruhl and Wilson (2007),,Cyperus,orgadophilus,,
Cyperus orthostachys,Franch. and Sav.,C4,Lerman and Raynal (1972) Ueno et al (1986) Ueno and Takeda (1992) Bruhl and Wilson (2007),-15,Cyperus,orthostachys,,
Cyperus oxycarpus,S. T. Blake,C4,Bruhl and Wilson (2007),,Cyperus,oxycarpus,,
Cyperus oxylepis,Nees ex Steud.,C4,Bruhl and Wilson (2007),,Cyperus,oxylepis,,
Cyperus palianparaiensis,Govindarajalu,C3,Govindarajalu (1990b),,Cyperus,palianparaiensis,,
Cyperus panamensis,(C. B. Clarke) Britton,C4,Bruhl and Wilson (2007),,Cyperus,panamensis,,
Cyperus pangorei,Rottb.,C4,Bruhl and Wilson (2007),,Cyperus,pangorei,,
Cyperus pannonicus,Jacq.,C4,Li (1993) Kalapos et al. (1997) Bruhl and Wilson (2007),,Cyperus,pannonicus,,
Cyperus papyrus,L.,C4,Haberlandt (1884) (a) Rikli (1895) Druyts-Voets (1970) Krenzer et al. (1975) Jones and Milburn (1978) Hesla et al. (1982) Li (1993) Aucuor et al. (1994) Li and Jones (1994),,Cyperus,papyrus,,
Cyperus papyrus,L.,C3+,Moss et al. (1969) Tregunna et al. (1970) Hofstra et al. (1972),,Cyperus,papyrus,,
Cyperus pectinatus,Vahl,C3,Druyts-Voets (1970) Ellery et al. (1992) Bruhl and Wilson (2007),-27.8,Cyperus,pectinatus,,
Cyperus pedunculatus,(R. Br.) Kern,C4,Hofstra et al. (1972) Lerman and Raynal (1972) Ueno and Takeda (1992) Bruhl and Wilson (2007),-13.5,Cyperus,pedunculatus,,
Cyperus perangustus,S. T. Blake,C4,Bruhl and Wilson (2007),,Cyperus,perangustus,,
Cyperus perennis,(M. E. Jones) O’Neill,C3,Bruhl and Wilson (2007),,Cyperus,perennis,,
Cyperus phillipsiae,(C. B. Clarke) Kük.,C4,Hesla et al. (1982),,Cyperus,phillipsiae,,
Cyperus phleoides var. hawaiiensis,(Nees ex Kunth) Hillebr. (H. Mann) Kuk,C4,Bruhl and Wilson (2007),,Cyperus,phleoides,hawaiiensis,var.
Cyperus picardae,Boeck.,C4,Bruhl and Wilson (2007),,Cyperus,picardae,,
Cyperus pilosus,Vahl,C4,Ehleringer et al. (1987) Ueno et al. (1986) Ueno et al. (1988b) Ueno and Takeda (1992) Bruhl and Wilson (2007),,Cyperus,pilosus,,
Cyperus plateilema,(Steud.) Kük.,C4,Hesla et al. (1982),,Cyperus,plateilema,,
Cyperus platycaulis,Baker,C3,Druyts-Voets (1970) Hesla et al. (1982),,Cyperus,platycaulis,,
Cyperus platystylis,R. Br.,C3,Mani (1960) Druyts-Voets (1970) Takeda et al. (1985) Bruhl and Wilson (2007),-27.7,Cyperus,platystylis,,
Cyperus plukenetii,Fernald,C4,Li et al. (1999),,Cyperus,plukenetii,,
Cyperus podocarpus,Boeck.,C4,Bruhl and Wilson (2007),,Cyperus,podocarpus,,
Cyperus portae-tartari,K. L. Wilson,C4,Carolin et al. (1977) Bruhl and Wilson (2007),,Cyperus,portae-tartari,,
Cyperus procerus,Rottb.,C4,Mani (1960) Bruhl and Wilson (2007),,Cyperus,procerus,,
Cyperus procerus var. vanderysii,Rottb.,C4,Druyts-Voets (1970),,Cyperus,procerus,vanderysii,var.
Cyperus prolifer,Lam.,C3,Druyts-Voets (1970) Hesla et al. (1982) Bruhl and Wilson (2007),,Cyperus,prolifer,,
Cyperus prolixus,Kunth,C4,Bruhl and Wilson (2007),,Cyperus,prolixus,,
Cyperus pseudoleptocladus,Kük.,C3,Druyts-Voets (1970) Hesla et al. (1982) Bruhl and Wilson (2007),,Cyperus,pseudoleptocladus,,
Cyperus pseudovegetus,Steud.,C3,Denton (1983) Li et al. (1999),,Cyperus,pseudovegetus,,
Cyperus pseudovestitus,(C. B. Clarke) Kük.,C4,Hesla et al. (1982) Vorster (1990) Bruhl and Wilson (2007),,Cyperus,pseudovestitus,,
Cyperus pulchellus,R. Br.,C3,Druyts-Voets (1970) Hesla et al. (1982) Takeda et al. (1985) Simpson (1990) Bruhl and Wilson (2007),,Cyperus,pulchellus,,
Cyperus pulchellus,R. Br.,C4+,Bruhl and Wilson (2007),-13.2,Cyperus,pulchellus,,
Cyperus pulcher,Thunb.,C3,Sonnenberg and Botha (1992),,Cyperus,pulcher,,
Cyperus pustulatus,Vahl,C4,Druyts-Voets (1970),,Cyperus,pustulatus,,
Cyperus pycnostachyus,(Kunth) Kunth,C4,Bruhl and Wilson (2007),,Cyperus,pycnostachyus,,
Cyperus pygmaeus,Rottb.,C4,Carolin et al. (1977) Hesla et al. (1982) Ueno and Takeda (1992) Bruhl and Wilson (1992),-13.3,Cyperus,pygmaeus,,
Cyperus radians,Nees and Meyen,C4,Bruhl and Wilson (2007),,Cyperus,radians,,
Cyperus reduncus,Boeck.,C3,Druyts-Voets (1970),,Cyperus,reduncus,,
Cyperus reflexus,Vahl,C3,Denton (1983) Bruhl and Wilson (2007),,Cyperus,reflexus,,
Cyperus retroflexus var. pumilus,(Britton) R.,C4,Bruhl and Wilson (2007),,Cyperus,retroflexus,pumilus,var.
Cyperus refractus,Engelm. ex Boeck.,C4,Li et al. (1999),,Cyperus,refractus,,
