Taxon,Authority,Pathway,References,dC13,Genus,Species,Subspecies,Infradel
Bulbostylis densa,(Wall. ex Roxb.) Hand.-Mazz.,C4,Govindarajalu (1966) Hesla et al. (1982) Takeda et al. (1985) Ueno and Takeda (1992),,Bulbostylis,densa,,
Bulbostylis densa subsp. afrimontana,(K. Lye) R. Haines,C4,Hesla et al. (1982),,Bulbostylis,densa,afrimontana,subsp.
Bulbostylis filamentosa,(Vahl) C.B. Clarke,C4,Hesla et al. (1982),,Bulbostylis,filamentosa,,
Bulbostylis hispidula subsp. filiformis,(C. B. Clarke) R. Haines,C4,Hesla et al. (1982),,Bulbostylis,hispidula,filiformis,subsp.
Bulbostylis glaberrima,Kük.,C4,Hesla et al. (1982),,Bulbostylis,glaberrima,,
Bulbostylis hispidula,(Vahl R. W. Haines,C4,Hesla et al. (1982),-13.4,Bulbostylis,hispidula,,
Bulbostylis humilis,(Kunth) C. B. Clarke,C4,Hesla et al. (1982),,Bulbostylis,humilis,,
Bulbostylis lanata,(Kunth)Lindm.,C4,Bruhl and Wilson (2007),,Bulbostylis,lanata,,
Bulbostylis laniceps,C. B. Clarke,C4,Bruhl and Wilson (2007),-14.1,Bulbostylis,laniceps,,
Bulbostylis lanifera,(Boeck.) Kük.,C4,Bruhl and Wilson (2007),-12.6,Bulbostylis,lanifera,,
Bulbostylis mucronata,C. B. Clarke,C4,Bruhl and Wilson (2007),-10.6,Bulbostylis,mucronata,,
Bulbostylis oligostachys,(Hochst. ex A. Rich.) K. Lye,C4,Hesla et al. (1982),,Bulbostylis,oligostachys,,
Bulbostylis oritrephes,(Ridl.) K. Lye,C4,Bruhl and Wilson (2007),-12,Bulbostylis,oritrephes,,
Bulbostylis paradoxa,(Spreng.) Lindm.,C4,Bruhl and Wilson (2007),,Bulbostylis,paradoxa,,
Bulbostylis pilosa,(Willd.) Cherm.,C4,Hesla et al. (1982) Bruhl and Wilson (2007),-12,Bulbostylis,pilosa,,
Bulbostylis puberula var. gracilis,(Poir.) C.B. Clarke (Nees) Fisch.,C4,Govindarajalu (1966),,Bulbostylis,puberula,gracilis,var.
Bulbostylis puberula var. puberula,(Poir.) C.B. Clarke (Nees) Fisch.,C4,Govindarajalu (1966),,Bulbostylis,puberula,puberula,var.
Bulbostylis pusilla,(Hochst. ex A. Rich. C. B. Clarke,C4,Hesla et al. (1982) Bruhl and Wilson (2007),-16,Bulbostylis,pusilla,,
Bulbostylis schimperiana,(A. Rich.) C. B. Clarke,C4,Hesla et al. (1982),,Bulbostylis,schimperiana,,
Bulbostylis subspinescens,C. B. Clarke,C4,Govindarajalu (1966),,Bulbostylis,subspinescens,,
Bulbostylis swamyi,Govindarajalu,C4,Govindarajalu (1985),,Bulbostylis,swamyi,,
Bulbostylis trichobasis,(Baker) C. B. Clarke,C4,Hesla et al. (1982),,Bulbostylis,trichobasis,,
Bulbostylis turbinata,S. T. Blake,C4,Takeda et al. (1985),,Bulbostylis,turbinata,,
Bulbostylis vanderystii,Cherm.,C4,Bruhl and Wilson (2007),-11.3,Bulbostylis,vanderystii,,
Calyptrocarya glomerulata,(Brongn.) Urb.,C3,Bruhl and Wilson (2007),-37.2,Calyptrocarya,glomerulata,,
Capeobolus brevicaulis,(C. B. Clarke) J. Browning,C3,Bruhl and Wilson (2007),,Capeobolus,brevicaulis,,
Capitularina involucrata,(Valck. Sur.) Kern,C3,Bruhl and Wilson (2007),-33.8,Capitularina,involucrata,,
Carex alligata,Boott,C3,Standley (1990),,Carex,alligata,,
Carex appressa,R. Br.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),-24.6,Carex,appressa,,
Carex baccans,Nees,C3,Hofstra et al. (1972),,Carex,baccans,,
Carex bequaertii,De Wild.,C3,Hesla et al. (1982),,Carex,bequaertii,,
