Order,Family,Subfamily,Tribe,Subtribe,Genus,Species,Infradel,Subspecies,Taxon,Taxonomy_Status,Pathway,Pathway_subtype,dC13,Kranz_anatomy,Kranz_subtype,BS_area_um2,FM_DM,FM_DM_sd,leaf_thickness_um,leaf_thickness_um_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,mesophyll_area_um2,mesophyll_thickness_um,mesophyll_thickness_um_sd,BS:M,mesophyll_cell_area_um2,vein_density_m_mm-2,Habit,tissue,CITEKEYS
,Typhaceae,,,,Typha,angustifolia,,,,,C3,,-31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Scirpus,cespitosus,,,,,C3,,-28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Scirpus,olneyi,,,,,C3,,-29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Scirpus,validus,,,,,C3,,-28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Scirpus,robustus,,,,,C3,,-26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Cladium,jamaicensis,,,,,C3,,-28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Eriophorum,angustifolium,,,,,C3,,-27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Carex,stricta,,,,,C3,,-27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Carex,lacustris,,,,,C3,,-27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Eleocharis,parvula,,,,,C3,,-21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Cyperus,odoratus,,,,,C4,,-13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Cyperus,filiculmis,,,,,C4,,-13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Commelinaceae,,,,Tradescantia,ohiensis,,,,,C3,,-26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Juncaceae,,,,Juncus,roemerianus,,,,,C3,,-28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Juncaceae,,,,Juncus,effusus,,,,,C3,,-30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Liliaceae,,,,Yucca,filamentosa,,,,,C3,,-27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Liliaceae,,,,Aloe,arborescens,,,,,,,-24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Liliaceae,,,,Sanseveria,fasciata,,,,,,,-17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Polygonaceae,,,,Oxyria,digyna,,,,,,,-27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Chenopodiaceae,,,,Atriplex,patula,,,,,,,-31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Chenopodiaceae,,,,Atriplex,rosea,,,,,C4,,-19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Chenopodiaceae,,,,Atriplex,hastata,,,,,C3,,-32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Chenopodiaceae,,,,Chenopodium,album,,,,,C3,,-28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Chenopodiaceae,,,,Haloxylon,salicornicum,,,,,,,-14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Chenopodiaceae,,,,Salsola,foetida,,,,,,,-12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Chenopodiaceae,,,,Suaeda,fruticosa,,,,,,,-12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Amaranthaceae,,,,Aerva,javanica,,,,,,,-13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Amaranthaceae,,,,Aerva,pseudotomentosa,,,,,,,-14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Amaranthaceae,,,,Pupalia,lappacea,,,,,,,-24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Amaranthaceae,,,,Amaranthus,blitoides,,,,,,,-14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Amaranthaceae,,,,Amaranthus,retroflexus,,,,,,,-13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Portulacaceae,,,,Portulaca,oleracea,,,,,C4+CAM,,-12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Portulacaceae,,,,Portulaca,grandiflora,,,,,C4+CAM,,-11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Crassulaceae,,,,Sempervivum,calcareum,,,,,,,-16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Crassulaceae,,,,Sedum,spurium,,,,,,,-27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Crassulaceae,,,,Sedum,spectabile,,,,,,,-26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Crassulaceae,,,,Sedum,rubrotinctum,,,,,,,-13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Crassulaceae,,,,Kalanchoe,tubiflora,,,,,CAM,,-14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Crassulaceae,,,,Echeveria,cilva,,,,,,,-18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Crassulaceae,,,,Crassula,tomentosa,,,,,CAM,,-18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Fabaceae,,,,Glycine,soja,,,,,C3,,-28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Fabaceae,,,,Lupinus,perennis,,,,,C3,,-28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Fabaceae,,,,Amorpha,canescens,,,,,C3,,-27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Euphorbiaceae,,,,Euphorbia,pulcherrima,,,,,,,-29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Euphorbiaceae,,,,Euphorbia,corollata,,,,,,,-26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Euphorbiaceae,,,,Euphorbia,tirucalli,,,,,,,-15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
